MJD,Seconds of Day,Azimuth,Elevation
60380.39378472185,34023.42663,25.0,10.0
60380.39378472185,34023.52663,26.01123595505618,10.651685393258427
60380.39378472185,34023.62663,27.02247191011236,11.303370786516854
60380.39378472185,34023.72663,28.033707865168537,11.955056179775282
60380.39378472185,34023.82663,29.04494382022472,12.606741573033709
60380.39378472185,34023.92663,30.0561797752809,13.258426966292134
60380.393796296325,34024.02663,31.06741573033708,13.910112359550562
60380.393796296325,34024.12663,32.07865168539326,14.561797752808989
60380.393796296325,34024.22663,33.08988764044944,15.213483146067416
60380.393796296325,34024.32663,34.10112359550562,15.865168539325843
60380.393796296325,34024.42663,35.1123595505618,16.51685393258427
60380.393796296325,34024.52663,36.12359550561798,17.168539325842698
60380.393796296325,34024.62663,37.13483146067416,17.820224719101123
60380.393796296325,34024.72663,38.146067415730336,18.471910112359552
60380.393796296325,34024.82663,39.157303370786515,19.123595505617978
60380.393796296325,34024.92663,40.1685393258427,19.775280898876403
60380.393807870336,34025.02663,41.17977528089888,20.426966292134832
60380.393807870336,34025.12663,42.19101123595506,21.07865168539326
60380.393807870336,34025.22663,43.20224719101124,21.730337078651687
60380.393807870336,34025.32663,44.21348314606742,22.382022471910112
60380.393807870336,34025.42663,45.2247191011236,23.03370786516854
60380.393807870336,34025.52663,46.235955056179776,23.685393258426966
60380.393807870336,34025.62663,47.247191011235955,24.337078651685395
60380.393807870336,34025.72663,48.258426966292134,24.98876404494382
60380.393807870336,34025.82663,49.26966292134831,25.640449438202246
60380.393807870336,34025.92663,50.28089887640449,26.292134831460675
60380.39381944435,34026.02663,51.29213483146067,26.9438202247191
60380.39381944435,34026.12663,52.30337078651685,27.59550561797753
60380.39381944435,34026.22663,53.31460674157303,28.247191011235955
60380.39381944435,34026.32663,54.32584269662921,28.898876404494384
60380.39381944435,34026.42663,55.337078651685395,29.55056179775281
60380.39381944435,34026.52663,56.348314606741575,30.20224719101124
60380.39381944435,34026.62663,57.359550561797754,30.853932584269664
60380.39381944435,34026.72663,58.37078651685393,31.50561797752809
60380.39381944435,34026.82663,59.38202247191011,32.15730337078652
60380.39381944435,34026.92663,60.39325842696629,32.80898876404494
60380.39383101836,34027.02663,61.40449438202247,33.46067415730337
60380.39383101836,34027.12663,62.41573033707865,34.1123595505618
60380.39383101836,34027.22663,63.426966292134836,34.764044943820224
60380.39383101836,34027.32663,64.43820224719101,35.41573033707866
60380.39383101836,34027.42663,65.4494382022472,36.06741573033708
60380.39383101836,34027.52663,66.46067415730337,36.71910112359551
60380.39383101836,34027.62663,67.47191011235955,37.37078651685393
60380.39383101836,34027.72663,68.48314606741573,38.02247191011236
60380.39383101836,34027.82663,69.49438202247191,38.67415730337079
60380.39383101836,34027.92663,70.50561797752809,39.325842696629216
60380.39384259237,34028.02663,71.51685393258427,39.97752808988764
60380.39384259237,34028.12663,72.52808988764045,40.629213483146074
60380.39384259237,34028.22663,73.53932584269663,41.28089887640449
60380.39384259237,34028.32663,74.5505617977528,41.932584269662925
60380.39384259237,34028.42663,75.56179775280899,42.58426966292135
60380.39384259237,34028.52663,76.57303370786516,43.235955056179776
60380.39384259237,34028.62663,77.58426966292134,43.8876404494382
60380.39384259237,34028.72663,78.59550561797752,44.539325842696634
60380.39384259237,34028.82663,79.6067415730337,45.19101123595506
60380.39384259237,34028.92663,80.61797752808988,45.842696629213485
60380.39385416638,34029.02663,81.62921348314606,46.49438202247191
60380.39385416638,34029.12663,82.64044943820224,47.146067415730336
60380.39385416638,34029.22663,83.65168539325842,47.79775280898877
60380.39385416638,34029.32663,84.66292134831461,48.449438202247194
60380.39385416638,34029.42663,85.67415730337079,49.10112359550562
60380.39385416638,34029.52663,86.68539325842697,49.752808988764045
60380.39385416638,34029.62663,87.69662921348315,50.40449438202248
60380.39385416638,34029.72663,88.70786516853933,51.0561797752809
60380.39385416638,34029.82663,89.71910112359551,51.70786516853933
60380.39385416638,34029.92663,90.73033707865169,52.359550561797754
60380.39386574039,34030.02663,91.74157303370787,53.01123595505618
60380.39386574039,34030.12663,92.75280898876404,53.66292134831461
60380.39386574039,34030.22663,93.76404494382022,54.31460674157304
60380.39386574039,34030.32663,94.7752808988764,54.96629213483146
60380.39386574039,34030.42663,95.78651685393258,55.61797752808989
60380.39386574039,34030.52663,96.79775280898876,56.26966292134832
60380.39386574039,34030.62663,97.80898876404494,56.921348314606746
60380.39386574039,34030.72663,98.82022471910112,57.57303370786517
60380.39386574039,34030.82663,99.8314606741573,58.2247191011236
60380.39386574039,34030.92663,100.84269662921349,58.87640449438202
60380.393877314404,34031.02663,101.85393258426967,59.528089887640455
60380.393877314404,34031.12663,102.86516853932585,60.17977528089888
60380.393877314404,34031.22663,103.87640449438203,60.831460674157306
60380.393877314404,34031.32663,104.88764044943821,61.48314606741573
60380.393877314404,34031.42663,105.89887640449439,62.134831460674164
60380.393877314404,34031.52663,106.91011235955057,62.78651685393259
60380.393877314404,34031.62663,107.92134831460675,63.438202247191015
60380.393877314404,34031.72663,108.93258426966293,64.08988764044943
60380.393877314404,34031.82663,109.9438202247191,64.74157303370787
60380.393877314404,34031.92663,110.95505617977528,65.3932584269663
60380.39388888888,34032.02663,111.96629213483146,66.04494382022472
60380.39388888888,34032.12663,112.97752808988764,66.69662921348315
60380.39388888888,34032.22663,113.98876404494382,67.34831460674158
60380.39388888888,34032.32663,115.0,68.0
